日期,省,累计确诊,累计治愈,累计死亡
2020/11/22,上海市,1308,1236,7
2020/11/22,江西省,935,934,1
2020/11/22,内蒙古自治区,310,291,1
2020/11/22,北京市,950,936,9
2020/11/22,台湾,1,1,0
2020/11/22,吉林省,157,155,2
2020/11/22,天津市,298,277,3
2020/11/22,江苏省,677,670,0
2020/11/22,云南省,217,210,2
2020/11/22,山东省,849,841,7
2020/11/22,山西省,220,215,0
2020/11/22,广东省,1979,1939,8
2020/11/22,广西省,263,258,2
2020/11/22,新疆维吾尔族自治区,980,977,3
2020/11/22,宁夏回族自治区,75,75,0
2020/11/22,安徽省,992,985,6
2020/11/22,甘肃省,181,178,2
2020/11/22,四川省,797,745,3
2020/11/22,辽宁省,289,283,2
2020/11/22,河北省,373,365,6
2020/11/22,海南省,171,165,6
2020/11/22,湖北省,68148,63628,4512
2020/11/22,湖南省,1020,1016,4
2020/11/22,澳门特别行政区,46,46,0
2020/11/22,福建省,474,434,1
2020/11/22,河南省,1288,1261,22
2020/11/22,浙江省,1293,1283,1
2020/11/22,重庆市,590,583,6
2020/11/22,陕西省,493,447,3
2020/11/22,青海省,18,18,0
2020/11/22,香港特别行政区,5628,5259,108
2020/11/22,黑龙江省,949,936,13
2020/11/22,西藏自治区,1,1,0
2020/11/22,贵州省,147,145,2
2020/11/23,北京市,950,936,9
2020/11/23,台湾,1,1,0
2020/11/23,吉林省,157,155,2
2020/11/23,四川省,800,748,3
2020/11/23,天津市,299,279,3
2020/11/23,云南省,217,210,2
2020/11/23,安徽省,992,985,6
2020/11/23,广西省,263,258,2
2020/11/23,新疆维吾尔族自治区,980,977,3
2020/11/23,江西省,935,934,1
2020/11/23,山西省,220,215,0
2020/11/23,山东省,849,841,7
2020/11/23,广东省,1983,1940,8
2020/11/23,内蒙古自治区,311,291,1
2020/11/23,上海市,1312,1242,7
2020/11/23,江苏省,679,671,0
2020/11/23,宁夏回族自治区,75,75,0
2020/11/23,河北省,373,366,6
2020/11/23,海南省,171,165,6
2020/11/23,湖北省,68148,63628,4512
2020/11/23,湖南省,1020,1016,4
2020/11/23,澳门特别行政区,46,46,0
2020/11/23,甘肃省,181,178,2
2020/11/23,贵州省,147,145,2
2020/11/23,陕西省,495,449,3
2020/11/23,浙江省,1293,1283,1
2020/11/23,福建省,478,434,1
2020/11/23,青海省,18,18,0
2020/11/23,香港特别行政区,5701,5267,108
2020/11/23,黑龙江省,949,936,13
2020/11/23,西藏自治区,1,1,0
2020/11/23,河南省,1289,1261,22
2020/11/23,辽宁省,289,283,2
2020/11/23,重庆市,590,583,6
2020/11/24,江西省,935,934,1
2020/11/24,云南省,217,210,2
2020/11/24,内蒙古自治区,311,291,1
2020/11/24,北京市,950,936,9
2020/11/24,台湾,1,1,0
2020/11/24,吉林省,157,155,2
2020/11/24,四川省,800,754,3
2020/11/24,天津市,299,279,3
2020/11/24,宁夏回族自治区,75,75,0
2020/11/24,安徽省,992,985,6
2020/11/24,山西省,220,215,0
2020/11/24,广东省,1984,1941,8
2020/11/24,广西省,263,258,2
2020/11/24,新疆维吾尔族自治区,980,977,3
2020/11/24,江苏省,679,671,0
2020/11/24,上海市,1314,1249,7
2020/11/24,山东省,849,841,7
2020/11/24,河北省,373,366,6
2020/11/24,辽宁省,289,285,2
2020/11/24,陕西省,496,453,3
2020/11/24,浙江省,1293,1283,1
2020/11/24,海南省,171,165,6
2020/11/24,湖北省,68148,63628,4512
2020/11/24,澳门特别行政区,46,46,0
2020/11/24,甘肃省,181,179,2
2020/11/24,福建省,479,437,1
2020/11/24,湖南省,1020,1016,4
2020/11/24,重庆市,590,583,6
2020/11/24,青海省,18,18,0
2020/11/24,香港特别行政区,5781,5274,108
2020/11/24,黑龙江省,949,936,13
2020/11/24,河南省,1289,1261,22
2020/11/24,西藏自治区,1,1,0
2020/11/24,贵州省,147,145,2
2020/11/25,宁夏回族自治区,75,75,0
2020/11/25,云南省,217,210,2
2020/11/25,台湾,1,1,0
2020/11/25,吉林省,157,155,2
2020/11/25,四川省,801,758,3
2020/11/25,天津市,299,279,3
2020/11/25,上海市,1319,1253,7
2020/11/25,内蒙古自治区,320,296,1
2020/11/25,山西省,220,216,0
2020/11/25,广东省,1988,1942,8
2020/11/25,江苏省,680,672,0
2020/11/25,新疆维吾尔族自治区,980,977,3
2020/11/25,广西省,263,258,2
2020/11/25,安徽省,992,985,6
2020/11/25,山东省,849,841,7
2020/11/25,北京市,950,937,9
2020/11/25,河北省,373,366,6
2020/11/25,贵州省,147,145,2
2020/11/25,海南省,171,165,6
2020/11/25,湖北省,68148,63629,4512
2020/11/25,湖南省,1020,1016,4
2020/11/25,澳门特别行政区,46,46,0
2020/11/25,甘肃省,181,179,2
2020/11/25,福建省,480,437,1
2020/11/25,青海省,18,18,0
2020/11/25,重庆市,590,583,6
2020/11/25,江西省,935,934,1
2020/11/25,陕西省,496,455,3
2020/11/25,香港特别行政区,5866,5295,108
2020/11/25,黑龙江省,949,936,13
2020/11/25,浙江省,1293,1283,1
2020/11/25,西藏自治区,1,1,0
2020/11/25,辽宁省,289,285,2
2020/11/25,河南省,1289,1261,22
