组合码,国家,省州,市县,纬度,经度,人口数
Afghanistan,Afghanistan,,,33.93911,67.709953,38928341
Albania,Albania,,,41.1533,20.1683,2877800
Algeria,Algeria,,,28.0339,1.6596,43851043
Andorra,Andorra,,,42.5063,1.5218,77265
Angola,Angola,,,-11.2027,17.8739,32866268
Antigua and Barbuda,Antigua and Barbuda,,,17.0608,-61.7964,97928
Argentina,Argentina,,,-38.4161,-63.6167,45195777
Armenia,Armenia,,,40.0691,45.0382,2963234
Austria,Austria,,,47.5162,14.5501,9006400
Azerbaijan,Azerbaijan,,,40.1431,47.5769,10139175
Bahamas,Bahamas,,,25.025885,-78.035889,393248
Bahrain,Bahrain,,,26.0275,50.55,1701583
Bangladesh,Bangladesh,,,23.685,90.3563,164689383
Barbados,Barbados,,,13.1939,-59.5432,287371
Belarus,Belarus,,,53.7098,27.9534,9449321
Belgium,Belgium,,,50.8333,4.469936,11589616
"Antwerp, Belgium",Belgium,Antwerp,,51.2195,4.4024,1857986
"Brussels, Belgium",Belgium,Brussels,,50.8503,4.3517,1208542
"East Flanders, Belgium",Belgium,East Flanders,,51.0362,3.7373,1515064
"Flemish Brabant, Belgium",Belgium,Flemish Brabant,,50.9167,4.5833,1146175
"Hainaut, Belgium",Belgium,Hainaut,,50.5257,4.0621,1344241
"Liege, Belgium",Belgium,Liege,,50.4496,5.8492,1106992
"Limburg, Belgium",Belgium,Limburg,,50.9739,5.342,874048
"Luxembourg, Belgium",Belgium,Luxembourg,,50.0547,5.4677,284638
"Namur, Belgium",Belgium,Namur,,50.331,4.8221,494325
"Unknown, Belgium",Belgium,Unknown,,,,
"Walloon Brabant, Belgium",Belgium,Walloon Brabant,,50.4,4.35,403599
"West Flanders, Belgium",Belgium,West Flanders,,51.0536,3.1458,1195796
Belize,Belize,,,17.1899,-88.4976,397621
Benin,Benin,,,9.3077,2.3158,12123198
Bhutan,Bhutan,,,27.5142,90.4336,771612
Bolivia,Bolivia,,,-16.2902,-63.5887,11673029
Bosnia and Herzegovina,Bosnia and Herzegovina,,,43.9159,17.6791,3280815
Botswana,Botswana,,,-22.3285,24.6849,2351625
Brazil,Brazil,,,-14.235,-51.9253,212559409
"Acre, Brazil",Brazil,Acre,,-9.0238,-70.812,881935
"Alagoas, Brazil",Brazil,Alagoas,,-9.5713,-36.782,3337357
"Amapa, Brazil",Brazil,Amapa,,0.902,-52.003,845731
"Amazonas, Brazil",Brazil,Amazonas,,-3.4168,-65.8561,4144597
"Bahia, Brazil",Brazil,Bahia,,-12.5797,-41.7007,14873064
"Ceara, Brazil",Brazil,Ceara,,-5.4984,-39.3206,9132078
"Distrito Federal, Brazil",Brazil,Distrito Federal,,-15.7998,-47.8645,3015268
"Espirito Santo, Brazil",Brazil,Espirito Santo,,-19.1834,-40.3089,4018650
"Goias, Brazil",Brazil,Goias,,-15.827,-49.8362,7018354
"Maranhao, Brazil",Brazil,Maranhao,,-4.9609,-45.2744,7075181
"Mato Grosso, Brazil",Brazil,Mato Grosso,,-12.6819,-56.9211,3484466
"Mato Grosso do Sul, Brazil",Brazil,Mato Grosso do Sul,,-20.7722,-54.7852,2778986
"Minas Gerais, Brazil",Brazil,Minas Gerais,,-18.5122,-44.555,21168791
