日期,国家,省州,累计确诊,累计治愈,累计死亡
2020/11/22,Tanzania,,509,183,21
2020/11/22,Moldova,,97941,79556,2149
2020/11/22,United Kingdom,Gibraltar,958,860,4
2020/11/22,Australia,New South Wales,4542,0,53
2020/11/22,Guinea,,12826,11838,75
2020/11/22,Haiti,,9214,7854,232
2020/11/22,United Kingdom,Montserrat,13,12,1
2020/11/22,Czechia,,492263,398101,7196
2020/11/22,Australia,Tasmania,230,217,13
2020/11/22,Burkina Faso,,2735,2532,68
2020/11/22,Iran,,854361,603445,44802
2020/11/22,MS Zaandam,,9,0,2
2020/11/22,Samoa,,1,0,0
2020/11/22,Slovenia,,65308,44137,1052
2020/11/22,Malaysia,,54775,41597,335
2020/11/22,South Sudan,,3047,1290,60
2020/11/22,Congo (Kinshasa),,12180,11300,327
2020/11/22,Ukraine,,642215,299592,11292
2020/11/22,France,New Caledonia,32,32,0
2020/11/22,Benin,,2916,2579,43
2020/11/22,Holy See,,27,15,0
2020/11/22,South Africa,,767679,710099,20903
2020/11/22,Denmark,Faroe Islands,500,497,0
2020/11/22,Canada,Yukon,32,,1
2020/11/22,Portugal,,260758,172919,3897
2020/11/22,Jordan,,183429,114018,2236
2020/11/22,Armenia,,126224,94090,1952
2020/11/22,Sao Tome and Principe,,979,923,17
2020/11/22,Sri Lanka,,20171,14069,87
2020/11/22,Canada,British Columbia,25474,,331
2020/11/22,France,,2142417,129722,48396
2020/11/22,Bangladesh,,447341,362428,6388
2020/11/22,Germany,,932367,611627,14159
2020/11/22,Singapore,,58160,58067,28
2020/11/22,United Kingdom,Cayman Islands,261,245,2
2020/11/22,United Kingdom,,1512045,0,55024
2020/11/22,Poland,,861331,423971,13618
2020/11/22,North Macedonia,,54743,32366,1511
2020/11/22,Cameroon,,23528,22177,435
2020/11/22,Namibia,,13865,13225,145
2020/11/22,Israel,,329316,317631,2813
2020/11/22,Barbados,,259,241,7
2020/11/22,Denmark,,70485,55274,784
2020/11/22,Serbia,,121120,0,1199
2020/11/22,Spain,,1556730,150376,42619
2020/11/22,Japan,,133034,110273,1943
2020/11/22,Bahamas,,7413,5652,163
2020/11/22,Peru,,948081,879439,35549
2020/11/22,Dominica,,72,55,0
2020/11/22,Monaco,,582,512,3
2020/11/22,Gambia,,3726,3582,123
2020/11/22,Thailand,,3920,3766,60
2020/11/22,Canada,Saskatchewan,6473,,33
2020/11/22,Micronesia,,0,0,0
2020/11/22,Uganda,,17968,8611,172
2020/11/22,Netherlands,"Bonaire, Sint Eustatius and Saba",158,152,3
2020/11/22,Comoros,,596,572,7
2020/11/22,Algeria,,74862,48794,2272
2020/11/22,France,Martinique,4732,98,37
2020/11/22,Liberia,,1551,1331,82
2020/11/22,Canada,Nova Scotia,1179,,65
2020/11/22,Panama,,154783,135962,2957
2020/11/22,Finland,,21639,15300,375
2020/11/22,United Kingdom,Channel Islands,1094,887,48
2020/11/22,Ethiopia,,105785,65691,1647
2020/11/22,Zimbabwe,,9220,8250,268
2020/11/22,Laos,,25,23,0
2020/11/22,Trinidad and Tobago,,6450,5610,115
2020/11/22,Australia,South Australia,556,514,4
2020/11/22,Netherlands,,484648,0,8891
2020/11/22,Russia,,2071858,1582768,35838
2020/11/22,Venezuela,,99835,94355,871
2020/11/22,Antigua and Barbuda,,139,128,4
2020/11/22,Congo (Brazzaville),,5632,3887,93
2020/11/22,Belize,,5183,2842,116
2020/11/22,Syria,,7225,3097,376
2020/11/22,Belarus,,123999,103848,1096
2020/11/22,Kosovo,,34295,21043,914
2020/11/22,Slovakia,,96241,45883,671
2020/11/22,Niger,,1368,1166,70
2020/11/22,Nepal,,220308,199024,1321
2020/11/22,Kyrgyzstan,,69581,60811,1231
2020/11/22,Pakistan,,376929,330885,7696
2020/11/22,Somalia,,4445,3412,113
2020/11/22,France,French Guiana,11014,9995,70
2020/11/22,France,Saint Barthelemy,127,94,0
2020/11/22,Guatemala,,118629,107413,4076
2020/11/22,Luxembourg,,29762,20014,260
2020/11/22,Albania,,32761,15842,699
2020/11/22,Italy,,1408868,553098,49823
2020/11/22,Djibouti,,5668,5555,61
2020/11/22,Vanuatu,,1,0,0
2020/11/22,Hungary,,174618,42915,3800
2020/11/22,United Kingdom,Isle of Man,368,332,25
2020/11/22,Fiji,,35,33,2
2020/11/22,Canada,Newfoundland and Labrador,319,,4
2020/11/22,Sierra Leone,,2405,1828,74
2020/11/22,Georgia,,104732,85639,976
2020/11/22,Rwanda,,5665,5164,47
2020/11/22,Eswatini,,6219,5858,120
2020/11/22,Dominican Republic,,138410,112552,2310
2020/11/22,Sweden,,208295,0,6406
2020/11/22,Indonesia,,497668,418188,15884
2020/11/22,Mongolia,,640,340,0
2020/11/22,Zambia,,17424,16701,357
2020/11/22,Guyana,,5133,4019,143
2020/11/22,United Kingdom,Turks and Caicos Islands,746,700,6
2020/11/22,Honduras,,104435,46208,2857
2020/11/22,Ghana,,50874,49405,323
2020/11/22,Australia,Australian Capital Territory,115,111,3
